task,pass_at_1_successes_out_of_4,multi_turn_successes_out_of_4,turn_2_recoveries,turn_1_failures
all-your-base,4,4,0,0
allergies,2,4,2,2
bank-account,2,4,2,2
binary-search-tree,0,0,0,4
circular-buffer,3,3,0,1
clock,1,2,1,3
complex-numbers,0,3,3,4
crypto-square,0,0,0,4
diamond,0,0,0,4
dnd-character,1,2,1,3
gigasecond,0,0,0,4
grade-school,4,4,0,0
kindergarten-garden,0,0,0,4
knapsack,4,4,0,0
linked-list,0,2,2,4
meetup,0,0,0,4
parallel-letter-frequency,3,4,1,1
perfect-numbers,4,4,0,0
phone-number,4,4,0,0
queen-attack,3,4,1,1
robot-name,2,3,1,2
space-age,3,3,0,1
spiral-matrix,2,2,0,2
sublist,1,1,0,3
yacht,2,4,2,2
zebra-puzzle,0,0,0,4
